state,cases_5_18,deaths_5_18,cases_5_25,deaths_5_25,cases_change,deaths_change
Alabama,12086,489,14986,566,2900,77
Alaska,399,8,412,8,13,0
Arizona,14170,686,16561,806,2391,120
Arkansas,4813,100,6029,117,1216,17
California,81943,3322,97017,3808,15074,486
Colorado,22174,1224,24256,1333,2082,109
Connecticut,38116,3449,40873,3742,2757,293
Delaware,7869,297,8965,332,1096,35
District of Columbia,7270,392,8225,440,955,48
Florida,46434,1996,51738,2251,5304,255
Georgia,36634,1624,41414,1820,4780,196
Guam,1123,6,1135,6,12,0
Hawaii,630,17,633,17,3,0
Idaho,2455,74,2664,79,209,5
Illinois,96778,4257,112248,4912,15470,655
Indiana,28897,1765,32489,1984,3592,219
Iowa,14955,355,17628,460,2673,105
Kansas,8439,190,9272,201,833,11
Kentucky,8041,354,8899,403,858,49
Louisiana,34832,2563,37916,2690,3084,127
Maine,1713,71,2074,78,361,7
Maryland,39882,2023,47754,2302,7872,279
Massachusetts,87052,5862,93271,6416,6219,554
Michigan,51853,4915,54816,5240,2963,325
Minnesota,16372,740,21324,890,4952,150
Mississippi,11432,528,13458,635,2026,107
Missouri,11225,609,12296,694,1071,85
Montana,470,16,479,16,9,0
Nebraska,10625,132,12354,155,1729,23
Nevada,7059,364,7959,396,900,32
New Hampshire,3652,172,4197,210,545,38
New Jersey,148039,10435,155092,11144,7053,709
New Mexico,6096,270,7026,320,930,50
New York,356278,28302,367625,29138,11347,836
North Carolina,19121,684,23997,780,4876,96
North Dakota,1931,44,2457,54,526,10
Northern Mariana Islands,21,2,22,2,1,0
Ohio,28455,1657,32477,1987,4022,330
Oklahoma,5398,288,6090,313,692,25
Oregon,3687,138,3949,148,262,10
Pennsylvania,66676,4554,72356,5159,5680,605
Puerto Rico,2710,0,3260,0,550,0
Rhode Island,12795,506,14065,608,1270,102
South Carolina,8942,391,10178,440,1236,49
South Dakota,4027,44,4586,50,559,6
Tennessee,17767,296,20533,334,2766,38
Texas,49788,1362,56490,1536,6702,174
Utah,7384,80,8521,98,1137,18
Vermont,940,54,962,54,22,0
Virgin Islands,138,6,138,6,0,0
Virginia,31140,1014,37727,1208,6587,194
Washington,19756,1020,21265,1076,1509,56
West Virginia,1502,68,1782,73,280,5
Wisconsin,12722,459,15646,514,2924,55
Wyoming,766,10,843,12,77,2
